TargetName,MatrisomeDivision,MatrisomeCategory
CSF1,Matrisome-associated,Secreted Factors
HAPLN2,Core matrisome,Proteoglycans
BMP3,Matrisome-associated,Secreted Factors
OVGP1,Matrisome-associated,ECM-affiliated Proteins
C17orf58,Matrisome-associated,ECM Regulators
S100A7,Matrisome-associated,Secreted Factors
LAMA1,Core matrisome,ECM Glycoproteins
EFEMP1,Core matrisome,ECM Glycoproteins
FGF12,Matrisome-associated,Secreted Factors
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
SERPINB1,Matrisome-associated,ECM Regulators
TNF,Matrisome-associated,Secreted Factors
EMCN,Matrisome-associated,ECM-affiliated Proteins
EMILIN1,Core matrisome,ECM Glycoproteins
MFGE8,Core matrisome,ECM Glycoproteins
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
IFNA5,Matrisome-associated,Secreted Factors
COL6A2,Core matrisome,Collagens
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
CCL18,Matrisome-associated,Secreted Factors
ADAM12,Matrisome-associated,ECM Regulators
TIMP3,Matrisome-associated,ECM Regulators
ADAMTS8,Matrisome-associated,ECM Regulators
SMOC2,Core matrisome,ECM Glycoproteins
IL18,Matrisome-associated,Secreted Factors
CELA3A,Matrisome-associated,ECM Regulators
BMP1,Matrisome-associated,ECM Regulators
MUC12,Matrisome-associated,ECM-affiliated Proteins
GPC4,Matrisome-associated,ECM-affiliated Proteins
ITIH5,Matrisome-associated,ECM Regulators
S100A11,Matrisome-associated,Secreted Factors
SPON2,Core matrisome,ECM Glycoproteins
LGI1,Core matrisome,ECM Glycoproteins
GDF11,Matrisome-associated,Secreted Factors
LTA,Matrisome-associated,Secreted Factors
MEGF11,Matrisome-associated,Secreted Factors
COL16A1,Core matrisome,Collagens
CRLF3,Matrisome-associated,Secreted Factors
CCL26,Matrisome-associated,Secreted Factors
CXCL14,Matrisome-associated,Secreted Factors
IGFBP2,Core matrisome,ECM Glycoproteins
AGRN,Core matrisome,ECM Glycoproteins
SERPINA1,Matrisome-associated,ECM Regulators
CRELD1,Core matrisome,ECM Glycoproteins
ANXA1,Matrisome-associated,ECM-affiliated Proteins
ADAM11,Matrisome-associated,ECM Regulators
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
INHBE,Matrisome-associated,Secreted Factors
S100A1,Matrisome-associated,Secreted Factors
SPARCL1,Core matrisome,ECM Glycoproteins
ADAMTS3,Matrisome-associated,ECM Regulators
MFAP1,Core matrisome,ECM Glycoproteins
MUC20,Matrisome-associated,ECM-affiliated Proteins
ADAMTS13,Matrisome-associated,ECM Regulators
FSTL3,Matrisome-associated,Secreted Factors
NRG1,Matrisome-associated,Secreted Factors
CHADL,Core matrisome,Proteoglycans
P4HTM,Matrisome-associated,ECM Regulators
IFNA4,Matrisome-associated,Secreted Factors
HCFC2,Matrisome-associated,Secreted Factors
CTSB,Matrisome-associated,ECM Regulators
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
FBLN5,Core matrisome,ECM Glycoproteins
S100A4,Matrisome-associated,Secreted Factors
FGF11,Matrisome-associated,Secreted Factors
COL5A3,Core matrisome,Collagens
CCL8,Matrisome-associated,Secreted Factors
IGF1,Matrisome-associated,Secreted Factors
ANXA9,Matrisome-associated,ECM-affiliated Proteins
ADAMTS6,Matrisome-associated,ECM Regulators
WNT11,Matrisome-associated,Secreted Factors
PTN,Matrisome-associated,Secreted Factors
TIMP4,Matrisome-associated,ECM Regulators
COL11A1,Core matrisome,Collagens
PCOLCE,Core matrisome,ECM Glycoproteins
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
ANXA2,Matrisome-associated,ECM-affiliated Proteins
ANXA5,Matrisome-associated,ECM-affiliated Proteins
ANXA11,Matrisome-associated,ECM-affiliated Proteins
COL5A2,Core matrisome,Collagens
ISM1,Matrisome-associated,Secreted Factors
CST9L,Matrisome-associated,ECM Regulators
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
SERPINE2,Matrisome-associated,ECM Regulators
S100A13,Matrisome-associated,Secreted Factors
GPC1,Matrisome-associated,ECM-affiliated Proteins
BCAN,Core matrisome,Proteoglycans
LTBP3,Core matrisome,ECM Glycoproteins
SPOCK2,Core matrisome,Proteoglycans
EBI3,Matrisome-associated,Secreted Factors
SERPINB6,Matrisome-associated,ECM Regulators
ELFN2,Matrisome-associated,ECM-affiliated Proteins
EDIL3,Core matrisome,ECM Glycoproteins
IL13,Matrisome-associated,Secreted Factors
FGF8,Matrisome-associated,Secreted Factors
LGALS1,Matrisome-associated,ECM-affiliated Proteins
SERPINA3,Matrisome-associated,ECM Regulators
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
DHH,Matrisome-associated,Secreted Factors
CST4,Matrisome-associated,ECM Regulators
SPP1,Core matrisome,ECM Glycoproteins
ANXA8,Matrisome-associated,ECM-affiliated Proteins
REG3A,Matrisome-associated,ECM-affiliated Proteins
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
SRGN,Core matrisome,Proteoglycans
IFNA13,Matrisome-associated,Secreted Factors
CSHL1,Matrisome-associated,Secreted Factors
GDF6,Matrisome-associated,Secreted Factors
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
CXCL13,Matrisome-associated,Secreted Factors
MST1,Matrisome-associated,Secreted Factors
NGLY1,Matrisome-associated,ECM Regulators
ADAM15,Matrisome-associated,ECM Regulators
NODAL,Matrisome-associated,Secreted Factors
LGI3,Core matrisome,ECM Glycoproteins
CST8,Matrisome-associated,ECM Regulators
ITIH4,Matrisome-associated,ECM Regulators
IL17F,Matrisome-associated,Secreted Factors
HTRA1,Matrisome-associated,ECM Regulators
SLIT2,Core matrisome,ECM Glycoproteins
FAM20C,Matrisome-associated,ECM Regulators
LOXL4,Matrisome-associated,ECM Regulators
CRLF1,Matrisome-associated,Secreted Factors
SDC4,Matrisome-associated,ECM-affiliated Proteins
PGF,Matrisome-associated,Secreted Factors
CCL19,Matrisome-associated,Secreted Factors
MEGF8,Matrisome-associated,Secreted Factors
WIF1,Matrisome-associated,Secreted Factors
CTSF,Matrisome-associated,ECM Regulators
CTSA,Matrisome-associated,ECM Regulators
FGF18,Matrisome-associated,Secreted Factors
COL18A1,Core matrisome,Collagens
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
AGT,Matrisome-associated,ECM Regulators
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
S100B,Matrisome-associated,Secreted Factors
EGLN1,Matrisome-associated,ECM Regulators
F12,Matrisome-associated,ECM Regulators
ZFP91,Matrisome-associated,Secreted Factors
CXCL3,Matrisome-associated,Secreted Factors
COL11A2,Core matrisome,Collagens
MEGF10,Matrisome-associated,Secreted Factors
SPARC,Core matrisome,ECM Glycoproteins
PDGFB,Matrisome-associated,Secreted Factors
VEGFD,Matrisome-associated,Secreted Factors
DPT,Core matrisome,ECM Glycoproteins
SBSPON,Core matrisome,ECM Glycoproteins
GREM1,Matrisome-associated,ECM-affiliated Proteins
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
MUC3A,Matrisome-associated,ECM-affiliated Proteins
FGF6,Matrisome-associated,Secreted Factors
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
PLXND1,Matrisome-associated,ECM-affiliated Proteins
EGLN2,Matrisome-associated,ECM Regulators
CSPG4,Matrisome-associated,ECM-affiliated Proteins
ADAM23,Matrisome-associated,ECM Regulators
MDK,Matrisome-associated,Secreted Factors
MUC21,Matrisome-associated,ECM-affiliated Proteins
S100A10,Matrisome-associated,Secreted Factors
FGF3,Matrisome-associated,Secreted Factors
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
CCN1,Core matrisome,ECM Glycoproteins
NPNT,Core matrisome,ECM Glycoproteins
GLDN,Core matrisome,ECM Glycoproteins
TNFSF14,Matrisome-associated,Secreted Factors
NELL2,Core matrisome,ECM Glycoproteins
SPOCK1,Core matrisome,Proteoglycans
VEGFB,Matrisome-associated,Secreted Factors
PPBP,Matrisome-associated,Secreted Factors
SFTPC,Matrisome-associated,ECM-affiliated Proteins
KNG1,Matrisome-associated,ECM Regulators
IL24,Matrisome-associated,Secreted Factors
ANXA6,Matrisome-associated,ECM-affiliated Proteins
LRG1,Core matrisome,ECM Glycoproteins
ADAM9,Matrisome-associated,ECM Regulators
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
P4HTM,Matrisome-associated,ECM Regulators
SEMA3E,Matrisome-associated,ECM-affiliated Proteins
BMP3,Matrisome-associated,Secreted Factors
LOXL2,Matrisome-associated,ECM Regulators
MFAP1,Core matrisome,ECM Glycoproteins
FBN3,Core matrisome,ECM Glycoproteins
ADAMTS6,Matrisome-associated,ECM Regulators
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
A2M,Matrisome-associated,ECM Regulators
FGF3,Matrisome-associated,Secreted Factors
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
CSH2,Matrisome-associated,Secreted Factors
ELFN2,Matrisome-associated,ECM-affiliated Proteins
CTSE,Matrisome-associated,ECM Regulators
SLIT1,Core matrisome,ECM Glycoproteins
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
ASTL,Matrisome-associated,ECM Regulators
PGF,Matrisome-associated,Secreted Factors
MEGF11,Matrisome-associated,Secreted Factors
IL17F,Matrisome-associated,Secreted Factors
LIF,Matrisome-associated,Secreted Factors
MASP2,Matrisome-associated,ECM Regulators
CSF1,Matrisome-associated,Secreted Factors
SERPINE2,Matrisome-associated,ECM Regulators
SERPINF1,Matrisome-associated,ECM Regulators
COL1A2,Core matrisome,Collagens
ANXA7,Matrisome-associated,ECM-affiliated Proteins
KITLG,Matrisome-associated,Secreted Factors
NGLY1,Matrisome-associated,ECM Regulators
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
ADAM22,Matrisome-associated,ECM Regulators
SERPINB6,Matrisome-associated,ECM Regulators
CCL8,Matrisome-associated,Secreted Factors
VWA5B2,Core matrisome,ECM Glycoproteins
TGFB2,Matrisome-associated,Secreted Factors
BRINP2,Matrisome-associated,Secreted Factors
LAMA5,Core matrisome,ECM Glycoproteins
DCN,Core matrisome,Proteoglycans
ANXA1,Matrisome-associated,ECM-affiliated Proteins
LGI3,Core matrisome,ECM Glycoproteins
ADAM12,Matrisome-associated,ECM Regulators
PRELP,Core matrisome,Proteoglycans
GDF6,Matrisome-associated,Secreted Factors
F7,Matrisome-associated,ECM Regulators
F12,Matrisome-associated,ECM Regulators
TNFSF12,Matrisome-associated,Secreted Factors
IFNA13,Matrisome-associated,Secreted Factors
COL18A1,Core matrisome,Collagens
MFAP3,Core matrisome,ECM Glycoproteins
IGF1,Matrisome-associated,Secreted Factors
TNFSF14,Matrisome-associated,Secreted Factors
BCAN,Core matrisome,Proteoglycans
CSHL1,Matrisome-associated,Secreted Factors
FCN1,Matrisome-associated,ECM-affiliated Proteins
MDK,Matrisome-associated,Secreted Factors
TNFSF13,Matrisome-associated,Secreted Factors
SFTPC,Matrisome-associated,ECM-affiliated Proteins
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
CRLF3,Matrisome-associated,Secreted Factors
RELN,Core matrisome,ECM Glycoproteins
EGLN2,Matrisome-associated,ECM Regulators
IGF2,Matrisome-associated,Secreted Factors
LTBP4,Core matrisome,ECM Glycoproteins
NODAL,Matrisome-associated,Secreted Factors
EBI3,Matrisome-associated,Secreted Factors
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
FGF18,Matrisome-associated,Secreted Factors
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
SERPINI1,Matrisome-associated,ECM Regulators
EFEMP1,Core matrisome,ECM Glycoproteins
S100Z,Matrisome-associated,Secreted Factors
CBLN2,Matrisome-associated,Secreted Factors
PDGFB,Matrisome-associated,Secreted Factors
CCL2,Matrisome-associated,Secreted Factors
CCN2,Core matrisome,ECM Glycoproteins
VWDE,Core matrisome,ECM Glycoproteins
TIMP1,Matrisome-associated,ECM Regulators
ADAMTS10,Matrisome-associated,ECM Regulators
WNT5B,Matrisome-associated,Secreted Factors
WIF1,Matrisome-associated,Secreted Factors
CRLF1,Matrisome-associated,Secreted Factors
IGFBP5,Core matrisome,ECM Glycoproteins
EDIL3,Core matrisome,ECM Glycoproteins
PPBP,Matrisome-associated,Secreted Factors
HHIP,Matrisome-associated,Secreted Factors
ITIH5,Matrisome-associated,ECM Regulators
MUC12,Matrisome-associated,ECM-affiliated Proteins
FGF8,Matrisome-associated,Secreted Factors
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
SPP1,Core matrisome,ECM Glycoproteins
MST1,Matrisome-associated,Secreted Factors
SBSPON,Core matrisome,ECM Glycoproteins
CST8,Matrisome-associated,ECM Regulators
WNT11,Matrisome-associated,Secreted Factors
GDF2,Matrisome-associated,Secreted Factors
SNED1,Core matrisome,ECM Glycoproteins
ADAMTSL5,Matrisome-associated,ECM Regulators
IL18,Matrisome-associated,Secreted Factors
THBS3,Core matrisome,ECM Glycoproteins
MMP28,Matrisome-associated,ECM Regulators
VWA5A,Core matrisome,ECM Glycoproteins
SERPINB1,Matrisome-associated,ECM Regulators
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
CCL18,Matrisome-associated,Secreted Factors
LOXL4,Matrisome-associated,ECM Regulators
ADAM32,Matrisome-associated,ECM Regulators
SPON2,Core matrisome,ECM Glycoproteins
MUC21,Matrisome-associated,ECM-affiliated Proteins
SDC3,Matrisome-associated,ECM-affiliated Proteins
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
EGLN3,Matrisome-associated,ECM Regulators
SLIT2,Core matrisome,ECM Glycoproteins
ADAMTS13,Matrisome-associated,ECM Regulators
MUCL1,Matrisome-associated,ECM-affiliated Proteins
MEGF8,Matrisome-associated,Secreted Factors
TNF,Matrisome-associated,Secreted Factors
AEBP1,Core matrisome,ECM Glycoproteins
GREM1,Matrisome-associated,ECM-affiliated Proteins
VEGFC,Matrisome-associated,Secreted Factors
IL34,Matrisome-associated,Secreted Factors
CST6,Matrisome-associated,ECM Regulators
COL6A1,Core matrisome,Collagens
REG3A,Matrisome-associated,ECM-affiliated Proteins
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
C1QC,Matrisome-associated,ECM-affiliated Proteins
IL36RN,Matrisome-associated,Secreted Factors
WNT10A,Matrisome-associated,Secreted Factors
ANXA9,Matrisome-associated,ECM-affiliated Proteins
CTSZ,Matrisome-associated,ECM Regulators
TIMP2,Matrisome-associated,ECM Regulators
EMCN,Matrisome-associated,ECM-affiliated Proteins
SFRP2,Matrisome-associated,Secreted Factors
LTA,Matrisome-associated,Secreted Factors
ELSPBP1,Core matrisome,ECM Glycoproteins
SDC4,Matrisome-associated,ECM-affiliated Proteins
CCL19,Matrisome-associated,Secreted Factors
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
WNT10B,Matrisome-associated,Secreted Factors
CTSD,Matrisome-associated,ECM Regulators
SERPINB7,Matrisome-associated,ECM Regulators
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
FGF21,Matrisome-associated,Secreted Factors
ZFP91,Matrisome-associated,Secreted Factors
TGFB3,Matrisome-associated,Secreted Factors
NPNT,Core matrisome,ECM Glycoproteins
HSPG2,Core matrisome,Proteoglycans
PARM1,Matrisome-associated,ECM-affiliated Proteins
ADAMTS8,Matrisome-associated,ECM Regulators
WNT2,Matrisome-associated,Secreted Factors
LGALS1,Matrisome-associated,ECM-affiliated Proteins
IGFBP2,Core matrisome,ECM Glycoproteins
GH1,Matrisome-associated,Secreted Factors
VEGFB,Matrisome-associated,Secreted Factors
FSTL3,Matrisome-associated,Secreted Factors
COL6A2,Core matrisome,Collagens
S100A7,Matrisome-associated,Secreted Factors
TIMP3,Matrisome-associated,ECM Regulators
GLDN,Core matrisome,ECM Glycoproteins
CTSB,Matrisome-associated,ECM Regulators
PRSS3,Matrisome-associated,ECM Regulators
CST9L,Matrisome-associated,ECM Regulators
CRELD1,Core matrisome,ECM Glycoproteins
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
BMP1,Matrisome-associated,ECM Regulators
MEGF10,Matrisome-associated,Secreted Factors
ITIH4,Matrisome-associated,ECM Regulators
GDF1,Matrisome-associated,Secreted Factors
FGF11,Matrisome-associated,Secreted Factors
SERPIND1,Matrisome-associated,ECM Regulators
EMID1,Core matrisome,ECM Glycoproteins
CCL3,Matrisome-associated,Secreted Factors
S100B,Matrisome-associated,Secreted Factors
WNT8A,Matrisome-associated,Secreted Factors
CX3CL1,Matrisome-associated,Secreted Factors
FGF6,Matrisome-associated,Secreted Factors
C1QL3,Matrisome-associated,ECM-affiliated Proteins
IL24,Matrisome-associated,Secreted Factors
MUC3A,Matrisome-associated,ECM-affiliated Proteins
S100A11,Matrisome-associated,Secreted Factors
CTSA,Matrisome-associated,ECM Regulators
CRIM1,Core matrisome,ECM Glycoproteins
LRG1,Core matrisome,ECM Glycoproteins
S100A6,Matrisome-associated,Secreted Factors
POMZP3,Core matrisome,ECM Glycoproteins
FN1,Core matrisome,ECM Glycoproteins
SRGN,Core matrisome,Proteoglycans
VWF,Core matrisome,ECM Glycoproteins
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
COL11A1,Core matrisome,Collagens
INTS6L,Core matrisome,ECM Glycoproteins
LTBP1,Core matrisome,ECM Glycoproteins
WNT3,Matrisome-associated,Secreted Factors
FGF17,Matrisome-associated,Secreted Factors
COL9A2,Core matrisome,Collagens
KNG1,Matrisome-associated,ECM Regulators
LGI4,Core matrisome,ECM Glycoproteins
HCFC2,Matrisome-associated,Secreted Factors
LMAN1,Matrisome-associated,ECM-affiliated Proteins
NTNG2,Core matrisome,ECM Glycoproteins
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
CCL24,Matrisome-associated,Secreted Factors
CSTB,Matrisome-associated,ECM Regulators
SERPINA1,Matrisome-associated,ECM Regulators
GPC1,Matrisome-associated,ECM-affiliated Proteins
VEGFD,Matrisome-associated,Secreted Factors
ADAMTS3,Matrisome-associated,ECM Regulators
LAMA1,Core matrisome,ECM Glycoproteins
COL4A1,Core matrisome,Collagens
FGF4,Matrisome-associated,Secreted Factors
HAPLN4,Core matrisome,Proteoglycans
LGI1,Core matrisome,ECM Glycoproteins
FBLN5,Core matrisome,ECM Glycoproteins
GAS6,Core matrisome,ECM Glycoproteins
SERPINH1,Matrisome-associated,ECM Regulators
TNXB,Core matrisome,ECM Glycoproteins
ADAMTS4,Matrisome-associated,ECM Regulators
AGT,Matrisome-associated,ECM Regulators
SPOCK3,Core matrisome,Proteoglycans
CELA3A,Matrisome-associated,ECM Regulators
ISM1,Matrisome-associated,Secreted Factors
SPOCK1,Core matrisome,Proteoglycans
COL5A2,Core matrisome,Collagens
DHH,Matrisome-associated,Secreted Factors
CCL3L3,Matrisome-associated,Secreted Factors
AMH,Matrisome-associated,Secreted Factors
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
LAMB2,Core matrisome,ECM Glycoproteins
HTRA1,Matrisome-associated,ECM Regulators
ADAM9,Matrisome-associated,ECM Regulators
S100A4,Matrisome-associated,Secreted Factors
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
CTSF,Matrisome-associated,ECM Regulators
FLT3LG,Matrisome-associated,Secreted Factors
DPT,Core matrisome,ECM Glycoproteins
WNT9B,Matrisome-associated,Secreted Factors
PLOD3,Matrisome-associated,ECM Regulators
PCOLCE,Core matrisome,ECM Glycoproteins
C1QL2,Matrisome-associated,ECM-affiliated Proteins
OGFOD2,Matrisome-associated,ECM Regulators
COL27A1,Core matrisome,Collagens
SPOCK2,Core matrisome,Proteoglycans
GPC4,Matrisome-associated,ECM-affiliated Proteins
IGFBP7,Core matrisome,ECM Glycoproteins
MFGE8,Core matrisome,ECM Glycoproteins
NRG1,Matrisome-associated,Secreted Factors
S100A16,Matrisome-associated,Secreted Factors
P4HA2,Matrisome-associated,ECM Regulators
GDF11,Matrisome-associated,Secreted Factors
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
ADAM23,Matrisome-associated,ECM Regulators
BGN,Core matrisome,Proteoglycans
CXCL13,Matrisome-associated,Secreted Factors
INHA,Matrisome-associated,Secreted Factors
PF4,Matrisome-associated,Secreted Factors
PLAT,Matrisome-associated,ECM Regulators
CXCL14,Matrisome-associated,Secreted Factors
TIMP4,Matrisome-associated,ECM Regulators
ANXA11,Matrisome-associated,ECM-affiliated Proteins
EGFL7,Matrisome-associated,Secreted Factors
NTNG1,Core matrisome,ECM Glycoproteins
ANXA5,Matrisome-associated,ECM-affiliated Proteins
FGF12,Matrisome-associated,Secreted Factors
P4HA1,Matrisome-associated,ECM Regulators
NELL2,Core matrisome,ECM Glycoproteins
COL5A3,Core matrisome,Collagens
CCL26,Matrisome-associated,Secreted Factors
CCN1,Core matrisome,ECM Glycoproteins
BMP7,Matrisome-associated,Secreted Factors
CST4,Matrisome-associated,ECM Regulators
CHADL,Core matrisome,Proteoglycans
GDF5,Matrisome-associated,Secreted Factors
MATN4,Core matrisome,ECM Glycoproteins
COL4A2,Core matrisome,Collagens
MUC5B,Matrisome-associated,ECM-affiliated Proteins
FGF14,Matrisome-associated,Secreted Factors
FREM1,Matrisome-associated,ECM-affiliated Proteins
C17orf58,Matrisome-associated,ECM Regulators
SERPINA3,Matrisome-associated,ECM Regulators
PLOD1,Matrisome-associated,ECM Regulators
CXCL3,Matrisome-associated,Secreted Factors
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
SPARCL1,Core matrisome,ECM Glycoproteins
OVGP1,Matrisome-associated,ECM-affiliated Proteins
IL25,Matrisome-associated,Secreted Factors
HYAL2,Matrisome-associated,ECM Regulators
IFNA5,Matrisome-associated,Secreted Factors
FGF1,Matrisome-associated,Secreted Factors
FAM20C,Matrisome-associated,ECM Regulators
CELA2A,Matrisome-associated,ECM Regulators
S100A13,Matrisome-associated,Secreted Factors
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
FGF13,Matrisome-associated,Secreted Factors
SERPING1,Matrisome-associated,ECM Regulators
ADAM11,Matrisome-associated,ECM Regulators
CSPG4,Matrisome-associated,ECM-affiliated Proteins
NCAN,Core matrisome,Proteoglycans
ANXA2,Matrisome-associated,ECM-affiliated Proteins
IFNA16,Matrisome-associated,Secreted Factors
ANXA6,Matrisome-associated,ECM-affiliated Proteins
EGLN1,Matrisome-associated,ECM Regulators
HAPLN2,Core matrisome,Proteoglycans
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
PTN,Matrisome-associated,Secreted Factors
LTBP3,Core matrisome,ECM Glycoproteins
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
MUC20,Matrisome-associated,ECM-affiliated Proteins
IL1F10,Matrisome-associated,Secreted Factors
S100A1,Matrisome-associated,Secreted Factors
TNR,Core matrisome,ECM Glycoproteins
ADAM15,Matrisome-associated,ECM Regulators
COL11A2,Core matrisome,Collagens
BMP8B,Matrisome-associated,Secreted Factors
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
PCSK6,Matrisome-associated,ECM Regulators
EMILIN1,Core matrisome,ECM Glycoproteins
COL16A1,Core matrisome,Collagens
INHBE,Matrisome-associated,Secreted Factors
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
IL13,Matrisome-associated,Secreted Factors
IFNA14,Matrisome-associated,Secreted Factors
SPARC,Core matrisome,ECM Glycoproteins
CST3,Matrisome-associated,ECM Regulators
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
IGFBP4,Core matrisome,ECM Glycoproteins
IFNA4,Matrisome-associated,Secreted Factors
ANXA8,Matrisome-associated,ECM-affiliated Proteins
C1QB,Matrisome-associated,ECM-affiliated Proteins
SMOC2,Core matrisome,ECM Glycoproteins
IL6,Matrisome-associated,Secreted Factors
IL7,Matrisome-associated,Secreted Factors
AGRN,Core matrisome,ECM Glycoproteins
ELN,Core matrisome,ECM Glycoproteins
MEGF9,Matrisome-associated,Secreted Factors
ADAMTS1,Matrisome-associated,ECM Regulators
FGF2,Matrisome-associated,Secreted Factors
PLXND1,Matrisome-associated,ECM-affiliated Proteins
S100A10,Matrisome-associated,Secreted Factors
A2M,Matrisome-associated,ECM Regulators
CCL2,Matrisome-associated,Secreted Factors
SFRP2,Matrisome-associated,Secreted Factors
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
SBSPON,Core matrisome,ECM Glycoproteins
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
SLIT1,Core matrisome,ECM Glycoproteins
SERPINE2,Matrisome-associated,ECM Regulators
EGLN3,Matrisome-associated,ECM Regulators
ADAM9,Matrisome-associated,ECM Regulators
FBN3,Core matrisome,ECM Glycoproteins
NTNG1,Core matrisome,ECM Glycoproteins
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
FLT3LG,Matrisome-associated,Secreted Factors
COL27A1,Core matrisome,Collagens
OVGP1,Matrisome-associated,ECM-affiliated Proteins
MATN4,Core matrisome,ECM Glycoproteins
HHIP,Matrisome-associated,Secreted Factors
CX3CL1,Matrisome-associated,Secreted Factors
SEMA3E,Matrisome-associated,ECM-affiliated Proteins
FGF12,Matrisome-associated,Secreted Factors
FGF6,Matrisome-associated,Secreted Factors
FGF4,Matrisome-associated,Secreted Factors
IGF1,Matrisome-associated,Secreted Factors
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
IL7,Matrisome-associated,Secreted Factors
FGF21,Matrisome-associated,Secreted Factors
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
WNT8A,Matrisome-associated,Secreted Factors
CST6,Matrisome-associated,ECM Regulators
VEGFD,Matrisome-associated,Secreted Factors
BMP3,Matrisome-associated,Secreted Factors
IFNA13,Matrisome-associated,Secreted Factors
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
POMZP3,Core matrisome,ECM Glycoproteins
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
TNXB,Core matrisome,ECM Glycoproteins
SERPINH1,Matrisome-associated,ECM Regulators
THBS3,Core matrisome,ECM Glycoproteins
ADAMTS3,Matrisome-associated,ECM Regulators
COL9A2,Core matrisome,Collagens
PLAT,Matrisome-associated,ECM Regulators
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
COL6A1,Core matrisome,Collagens
SERPINI1,Matrisome-associated,ECM Regulators
S100A1,Matrisome-associated,Secreted Factors
MUC12,Matrisome-associated,ECM-affiliated Proteins
ADAMTS4,Matrisome-associated,ECM Regulators
PCOLCE,Core matrisome,ECM Glycoproteins
LIF,Matrisome-associated,Secreted Factors
CTSD,Matrisome-associated,ECM Regulators
AEBP1,Core matrisome,ECM Glycoproteins
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
CCL3,Matrisome-associated,Secreted Factors
LTA,Matrisome-associated,Secreted Factors
IFNA16,Matrisome-associated,Secreted Factors
IFNA4,Matrisome-associated,Secreted Factors
CTSA,Matrisome-associated,ECM Regulators
WNT3,Matrisome-associated,Secreted Factors
LAMB2,Core matrisome,ECM Glycoproteins
EDIL3,Core matrisome,ECM Glycoproteins
CSPG4,Matrisome-associated,ECM-affiliated Proteins
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
HYAL2,Matrisome-associated,ECM Regulators
EGFL7,Matrisome-associated,Secreted Factors
WNT10A,Matrisome-associated,Secreted Factors
P4HTM,Matrisome-associated,ECM Regulators
SPARC,Core matrisome,ECM Glycoproteins
P4HA1,Matrisome-associated,ECM Regulators
COL6A2,Core matrisome,Collagens
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
CXCL3,Matrisome-associated,Secreted Factors
